make_model,make,location,price,body_type,type,warranty,mileage,gearbox,fuel_type,seller,engine_size,gears,co_emissions,drivetrain,extras,empty_weight,full_service_history,upholstery,previous_owner,energy_efficiency_class,age,power_kW,cons_avg,comfort_&_convenience_Package,entertainment_&_media_Package,safety_&_security_Package
Mercedes-Benz A 45 AMG,Mercedes-Benz,"CAÑADA REAL, 44,  37120 DOÑINOS DE SALAMANCA, ES",16999.0,Compact,Used,Yes,210000.0,Automatic,Diesel,Dealer,2143.0,7.0,162.0,4WD,Alloy wheels,1545.0,No,Part/Full Leather,2.0,unefficient,6.0,100.0,4.9,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz A 180,Mercedes-Benz,"Zaackoer Weg 34,  15926 Luckau, DE",7450.0,Compact,Used,No,157500.0,Manual,Diesel,Dealer,1991.0,6.0,138.0,Front,"Alloy wheels, Automatically dimming interior mirror, Cargo barrier, Emergency tyre, Summer tyres, Winter package",1295.0,Yes,Cloth,2.0,unefficient,12.0,80.0,5.2,Premium,Standard,Safety Premium Plus Package
Mercedes-Benz A 250,Mercedes-Benz,"Bruglaan 55,  3960 Bree, BE",38999.0,Compact,Used,No,21496.0,Automatic,Benzine,Dealer,1332.0,7.0,22.0,Front,"Alloy wheels, Sport seats",1680.0,No,Cloth,1.0,efficient,1.0,118.0,0.0,Standard,Standard,Safety Premium Package
Mercedes-Benz A 35 AMG,Mercedes-Benz,"Avenida Principe Felipe 160A,  23600 MARTOS, ES",41900.0,Compact,Used,Yes,44000.0,Automatic,Benzine,Dealer,1991.0,7.0,169.0,4WD,Sport seats,1455.0,No,Part/Full Leather,2.0,unefficient,3.0,225.0,7.3,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,Mercedes-Benz,"Calle Carbón 19,  29603 MALAGA, ES",29800.0,Compact,Used,Yes,21734.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,Sport seats,1445.0,No,Cloth,2.0,unefficient,2.0,85.0,3.9,Standard,Standard,Safety Premium Package
Mercedes-Benz A 45 AMG,Mercedes-Benz,"C/ FIDIAS 25, PARQUE EMPRESARIAL SANTA BARBARA,  29004 MALAGA, ES",37490.0,Compact,Used,Yes,81500.0,Automatic,Benzine,Dealer,1991.0,7.0,162.0,4WD,"Alloy wheels, Sport seats",1555.0,No,Part/Full Leather,2.0,unefficient,6.0,280.0,6.9,Standard,Standard,Safety Standard Package
Mercedes-Benz A 180,Mercedes-Benz,"RUA REAL 60,  36860 PONTEAEREAS, ES",21000.0,Compact,Used,Yes,172700.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,Sport seats,1425.0,No,Cloth,3.0,unefficient,4.0,80.0,3.7,Standard,Standard,Safety Standard Package
Mercedes-Benz A 180,Mercedes-Benz,"Canal de Sant Jordi nº17 Pol. Ind. Son oms,  07610 Palma de Mallorca, ES",26800.0,Compact,Used,Yes,18989.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,Sport seats,1455.0,No,Cloth,2.0,unefficient,2.0,85.0,3.9,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,Mercedes-Benz,"AVDA. ANDALUCIA, S/N,  18015 GRANADA, ES",32900.0,Compact,Pre-registered,Yes,25.0,Manual,Benzine,Dealer,1332.0,6.0,126.0,Front,Sport seats,1350.0,No,Cloth,1.0,unefficient,1.0,100.0,0.0,Standard,Standard,Safety Premium Package
Mercedes-Benz A 200,Mercedes-Benz,"Oeverstraat 3,  9160 Lokeren, BE",32950.0,Compact,Used,No,24244.0,Manual,Benzine,Dealer,1332.0,6.0,140.0,Front,"Alloy wheels (19""), Ski bag, Sport package",1275.0,No,Part/Full Leather,2.0,efficient,3.0,120.0,6.1,Standard,Standard,Safety Premium Package
Mercedes-Benz GLC 220,Mercedes-Benz,"PAREDES S/N,  33429 SIERO, ES",64900.0,Compact,Used,Yes,6589.0,Automatic,Diesel,Dealer,1950.0,6.0,132.0,4WD,"Alloy wheels, Sport package",1845.0,No,Part/Full Leather,1.0,efficient,1.0,143.0,5.0,Standard,Standard,Safety Standard Package
Mercedes-Benz A 180,Mercedes-Benz,"Madrid,  28034 Madrid, ES",21000.0,Compact,Used,Yes,172700.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,Sport seats,1425.0,No,Cloth,3.0,unefficient,4.0,80.0,3.7,Standard,Standard,Safety Standard Package
Mercedes-Benz A 45 AMG,Mercedes-Benz,"Doctor Fleming 29,  8017 BARCELONA, ES",67900.0,Compact,Used,Yes,6564.0,Automatic,Benzine,Dealer,1991.0,8.0,162.0,4WD,Alloy wheels,1555.0,No,Part/Full Leather,1.0,unefficient,1.0,310.0,8.4,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz A 160,Mercedes-Benz,"Voogdijstraat 25,  3500 Hasselt, BE",13999.0,Compact,Used,No,128644.0,Manual,Diesel,Dealer,1461.0,5.0,98.0,Front,Alloy wheels,1270.0,No,Cloth,2.0,efficient,8.0,66.0,3.8,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz A 45 AMG,Mercedes-Benz,"BARRIO ADARZO, 84,  39012 PEÑACASTILLO, ES",29990.0,Compact,Used,Yes,120000.0,Automatic,Benzine,Dealer,1991.0,7.0,162.0,4WD,Alloy wheels,1555.0,No,Part/Full Leather,2.0,unefficient,8.0,265.0,7.1,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz A 200,Mercedes-Benz,"Mannheimer Straße 70,  67098 Bad Duerkheim, DE",8300.0,Compact,Used,No,71752.0,Automatic,Benzine,Dealer,2035.0,7.0,179.0,Front,"Alloy wheels, Automatically dimming interior mirror, Cargo barrier, Emergency tyre repair kit, Headlight washer system, Smoker's package, Sport seats, Sport suspension, Summer tyres, Winter package, Winter tyres",1275.0,Yes,Part/Full Leather,2.0,efficient,17.0,100.0,7.6,Premium,Standard,Safety Premium Package
Mercedes-Benz A 200,Mercedes-Benz,"Kortrijksesteenweg 395,  8530 Harelbeke, BE",32950.0,Compact,Used,No,34942.0,Automatic,Benzine,Dealer,1332.0,7.0,121.0,Front,Alloy wheels,1275.0,No,Part/Full Leather,2.0,efficient,2.0,120.0,5.3,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,Mercedes-Benz,"Kortrijksesteenweg 395,  8530 Harelbeke, BE",32950.0,Compact,Used,No,20124.0,Automatic,Benzine,Dealer,1332.0,7.0,128.0,Front,"Alloy wheels (19""), Sport package",1295.0,No,Part/Full Leather,2.0,unefficient,2.0,100.0,5.6,Standard,Standard,Safety Premium Package
Mercedes-Benz A 250,Mercedes-Benz,"CTRA DE MADRID KM 315,7,  50012 ZARAGOZA, ES",36900.0,Compact,Used,Yes,11990.0,Automatic,Benzine,Dealer,1332.0,8.0,22.0,Front,"Alloy wheels, Sport seats",1680.0,No,Cloth,1.0,efficient,1.0,160.0,1.4,Standard,Standard,Safety Premium Package
Mercedes-Benz E 220,Mercedes-Benz,"PARAJE ASENSAO, S/N,  30530 CIEZA, ES",29800.0,Compact,Used,Yes,55226.0,Manual,Diesel,Dealer,2143.0,7.0,128.0,Rear,Alloy wheels,1845.0,No,Part/Full Leather,2.0,efficient,6.0,125.0,4.7,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz A 180,Mercedes-Benz,"Plaza de Europa, S/N Centro Comercial Gran Turia, L-256, 257,  46014 Valencia, ES",18390.0,Compact,Used,Yes,63871.0,Automatic,Benzine,Dealer,1595.0,7.0,126.0,Front,Alloy wheels,1395.0,No,Part/Full Leather,1.0,unefficient,5.0,90.0,5.4,Standard,Standard,Safety Standard Package
Mercedes-Benz A 180,Mercedes-Benz,"CTRA DE MADRID KM 315,7,  50012 ZARAGOZA, ES",25900.0,Compact,Used,Yes,26900.0,Manual,Benzine,Dealer,1332.0,6.0,126.0,Front,Sport seats,1350.0,No,Part/Full Leather,2.0,unefficient,2.0,100.0,0.0,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,Mercedes-Benz,"CTRA. REDONDELA-SANGUIÑEDA,46,  36418 MOS, ES",25400.0,Compact,Used,Yes,87700.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,Sport seats,1445.0,No,Part/Full Leather,3.0,unefficient,4.0,85.0,3.9,Standard,Standard,Safety Premium Package
Mercedes-Benz B 200,Mercedes-Benz,"CTRA GRANADA N 432 KM 278,  14029 CORDOBA, ES",29000.0,Compact,Used,No,45701.0,Automatic,Diesel,Dealer,1950.0,8.0,136.0,Front,Alloy wheels,1485.0,No,Part/Full Leather,2.0,efficient,3.0,110.0,4.0,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,Mercedes-Benz,"Rue Bois Monjoie 2,  5330 Assesse, BE",29900.0,Compact,Used,Yes,52497.0,Automatic,Benzine,Dealer,1332.0,7.0,127.0,Front,"Alloy wheels (17""), Automatically dimming interior mirror, Electronic parking brake, Emergency tyre repair kit, Shift paddles, Summer tyres, Touch screen, Voice Control",1295.0,Yes,Part/Full Leather,2.0,unefficient,3.0,100.0,5.6,Premium,Plus,Safety Premium Package
Mercedes-Benz A 180,Mercedes-Benz,"Bestel gemakkelijk Online 24/7,  1000 Brussel, BE",14490.0,Compact,Used,Yes,118059.0,Manual,Diesel,Dealer,1461.0,6.0,98.0,Front,"Alloy wheels, Spoiler",1295.0,No,Cloth,2.0,unefficient,8.0,80.0,3.8,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,Mercedes-Benz,"Calle Vial de los Cipreses, 1,  03006 ALICANTE, ES",20630.0,Compact,Used,Yes,98258.0,Manual,Diesel,Dealer,1461.0,6.0,99.5,Front,Sport seats,1295.0,No,Cloth,2.0,unefficient,3.0,85.0,4.2,Standard,Standard,Safety Premium Package
Mercedes-Benz A 160,Mercedes-Benz,"Weversstraat 7,  1840 Londerzeel ( A12 Brussel - Antwerpen ), BE",27500.0,Compact,Used,No,11394.0,Manual,Benzine,Dealer,1332.0,6.0,129.0,Front,Alloy wheels,1270.0,No,Part/Full Leather,1.0,efficient,1.0,80.0,5.6,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,Mercedes-Benz,"Hagener Str. 112-114,  58285 Gevelsberg, DE",8490.0,Compact,Used,Yes,141980.0,Automatic,Benzine,Dealer,1699.0,7.0,173.0,Front,Catalytic Converter,1295.0,Yes,Cloth,1.0,unefficient,11.0,85.0,7.3,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,Mercedes-Benz,"RUA REAL 60,  36860 PONTEAEREAS, ES",23850.0,Compact,Used,Yes,71098.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,Sport seats,1425.0,No,Cloth,3.0,unefficient,4.0,80.0,3.7,Standard,Standard,Safety Standard Package
Mercedes-Benz A 220,Mercedes-Benz,"Carrer de Provença, 31 Local,  8029 BARCELONA, ES",35500.0,Compact,Used,Yes,26000.0,Automatic,Benzine,Dealer,1991.0,7.0,141.0,Front,"Alloy wheels, Sport seats",1450.0,No,Part/Full Leather,2.0,efficient,3.0,140.0,6.1,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,Mercedes-Benz,"C/ BADAJOZ, S/N,  22004 HUESCA, ES",29900.0,Compact,Used,Yes,26500.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,Sport seats,1445.0,No,Cloth,1.0,unefficient,1.0,85.0,3.9,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,Mercedes-Benz,"Poligono Oliveral, Calle P, nave 4,  46190 Riba-roja de Túria, ES",25900.0,Compact,Used,Yes,43987.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,Sport seats,1445.0,No,Cloth,2.0,unefficient,3.0,85.0,3.9,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,Mercedes-Benz,"C/ JORGE MANRIQUE  Nº 24 , ESCALERA 1 , 1 G,  41300 SEVILLA, ES",16700.0,Compact,Used,Yes,139000.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,Sport seats,1425.0,No,Cloth,2.0,unefficient,6.0,80.0,3.7,Standard,Standard,Safety Standard Package
Mercedes-Benz A 180,Mercedes-Benz,"Madrid,  28034 Madrid, ES",23850.0,Compact,Used,Yes,71098.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,Sport seats,1425.0,No,Cloth,3.0,unefficient,4.0,80.0,3.7,Standard,Standard,Safety Standard Package
Mercedes-Benz A 180,Mercedes-Benz,"Karl-Heinz-Klingen-Straße 106,  46539 Dinslaken, DE",27460.0,Compact,Used,No,58813.0,Automatic,Benzine,Dealer,1332.0,7.0,124.0,Front,"Alloy wheels, Catalytic Converter, Sliding door, Touch screen, Voice Control",1350.0,Yes,Part/Full Leather,2.0,unefficient,2.0,100.0,5.4,Standard,Plus,Safety Premium Package
Mercedes-Benz A 200,Mercedes-Benz,"Calle Marzo 62,  28022 MADRID, ES",17399.0,Compact,Used,Yes,100640.0,Manual,Diesel,Dealer,1796.0,6.0,101.5,Front,Alloy wheels,1445.0,No,Part/Full Leather,2.0,efficient,9.0,100.0,4.3,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz A 200,Mercedes-Benz,"Avda Villa Rosa 1, Plg Ind Villa Ros,  29004 MALAGA, ES",23999.0,Compact,Used,Yes,100000.0,Automatic,Diesel,Dealer,2143.0,7.0,101.5,Front,Alloy wheels,1475.0,No,Part/Full Leather,2.0,efficient,6.0,100.0,4.1,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz A 180,Mercedes-Benz,"AUTOVIA LOGROÑO KM. 1,5,  50011 ZARAGOZA, ES",20630.0,Compact,Used,Yes,98258.0,Manual,Diesel,Dealer,1461.0,6.0,99.5,Front,Sport seats,1295.0,No,Part/Full Leather,2.0,unefficient,3.0,85.0,4.2,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,Mercedes-Benz,"SEVILLA,  41001 SEVILLA, ES",21000.0,Compact,Used,Yes,172700.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,Sport seats,1425.0,No,Part/Full Leather,3.0,unefficient,4.0,80.0,3.7,Standard,Standard,Safety Standard Package
Mercedes-Benz A 180,Mercedes-Benz,"C/ BADAJOZ, S/N,  22004 HUESCA, ES",29900.0,Compact,Used,Yes,68900.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,Sport seats,1455.0,No,Part/Full Leather,2.0,unefficient,3.0,85.0,3.9,Standard,Standard,Safety Premium Package
Mercedes-Benz A 200,Mercedes-Benz,"Bruglaan 55,  3960 Bree, BE",27999.0,Compact,Used,No,41272.0,Automatic,Benzine,Dealer,1332.0,7.0,126.0,Front,Alloy wheels,1275.0,No,Part/Full Leather,3.0,efficient,4.0,120.0,5.3,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,Mercedes-Benz,"CTRA.LOGROÑO, KM.110,3,  09007 BURGOS, ES",25600.0,Compact,Used,Yes,49600.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,Sport seats,1445.0,No,Part/Full Leather,3.0,unefficient,4.0,85.0,3.9,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,Mercedes-Benz,"Poligono Oliveral, Calle P, nave 4,  46190 Riba-roja de Túria, ES",26850.0,Compact,Used,Yes,28330.0,Automatic,Benzine,Dealer,1332.0,7.0,126.0,Front,Sport seats,1365.0,No,Part/Full Leather,2.0,unefficient,2.0,100.0,0.0,Standard,Standard,Safety Premium Package
Mercedes-Benz A 250,Mercedes-Benz,"Gewerbestraße 19,  86707 Westendorf, DE",44785.0,Compact,Used,No,9000.0,Automatic,Benzine,Dealer,1332.0,8.0,0.0,Front,"Alloy wheels (18""), Ambient lighting, Automatically dimming interior mirror, Emergency tyre repair kit, Shift paddles, Sport package, Sport seats, Touch screen, Voice Control",1680.0,Yes,Cloth,2.0,efficient,2.0,173.0,1.4,Standard,Plus,Safety Premium Package
Mercedes-Benz A 180,Mercedes-Benz,"Avenue Olympe Gilbart 1,  4000 Liège, BE",25990.0,Compact,Used,No,67626.0,Automatic,Benzine,Dealer,1332.0,7.0,121.0,Front,"Alloy wheels (16""), Automatically dimming interior mirror, Electronic parking brake, Emergency tyre repair kit, Shift paddles, Touch screen, Voice Control",1295.0,Yes,Cloth,1.0,unefficient,2.0,100.0,5.3,Premium,Plus,Safety Premium Package
Mercedes-Benz A 200,Mercedes-Benz,"CALLE ALCALA, 728,  28022 MADRID, ES",34995.0,Compact,Used,Yes,8828.0,Automatic,Diesel,Dealer,1950.0,8.0,101.5,4WD,Alloy wheels,1555.0,No,Part/Full Leather,1.0,efficient,2.0,110.0,4.6,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,Mercedes-Benz,"SEVILLA,  41001 SEVILLA, ES",27800.0,Compact,Used,Yes,61618.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,Sport seats,1425.0,No,Cloth,3.0,unefficient,4.0,80.0,3.7,Standard,Standard,Safety Standard Package
Mercedes-Benz A 180,Mercedes-Benz,"Voogdijstraat 25,  3500 Hasselt, BE",29999.0,Compact,Used,No,17115.0,Automatic,Benzine,Dealer,1332.0,7.0,126.0,Front,Sport seats,1295.0,No,Cloth,1.0,unefficient,2.0,100.0,5.3,Standard,Standard,Safety Premium Package
Mercedes-Benz A 200,Mercedes-Benz,"Robert-Bosch-Straße 36,  64625 Bensheim, DE",38350.0,Compact,Demonstration,No,8000.0,Automatic,Benzine,Dealer,1332.0,7.0,138.0,Front,"Alloy wheels, Automatically dimming interior mirror, E10-enabled, Headlight washer system, Shift paddles, Sport seats, Touch screen, Voice Control",1275.0,No,Part/Full Leather,1.0,unefficient,1.0,120.0,5.3,Standard,Plus,Safety Premium Package
Mercedes-Benz A 200,Mercedes-Benz,"AUTOVIA DE SALOU 3,  43001 TARRAGONA, ES",23400.0,Compact,Used,Yes,87500.0,Automatic,Diesel,Dealer,2143.0,7.0,101.5,Front,Alloy wheels,1475.0,No,Part/Full Leather,2.0,efficient,6.0,100.0,4.1,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz A 150,Mercedes-Benz,"Mannheimer Straße 70,  67098 Bad Duerkheim, DE",7350.0,Compact,Used,No,61170.0,Automatic,Benzine,Dealer,1498.0,5.0,171.0,Front,"Alloy wheels, Automatically dimming interior mirror, Emergency tyre repair kit, Smoker's package, Summer tyres, Winter package",1225.0,Yes,Part/Full Leather,2.0,efficient,16.0,70.0,7.2,Standard,Standard,Safety Premium Package
Mercedes-Benz A 200,Mercedes-Benz,"C/ EMBAJADORES, 139,  28045 MADRID, ES",21450.0,Compact,Used,Yes,116715.0,Automatic,Diesel,Dealer,2143.0,7.0,101.5,Front,"Alloy wheels, Sport seats, Sport suspension",1475.0,No,Part/Full Leather,1.0,efficient,5.0,100.0,4.1,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz A 220,Mercedes-Benz,"Robert-Bosch-Straße 36,  64625 Bensheim, DE",43880.0,Compact,Demonstration,No,8000.0,Automatic,Diesel,Dealer,1950.0,7.0,133.0,Front,"Alloy wheels, Ambient lighting, Automatically dimming interior mirror, Cargo barrier, Headlight washer system, Shift paddles, Sport seats, Sport suspension, Touch screen, Voice Control",1485.0,Yes,Part/Full Leather,1.0,efficient,1.0,140.0,4.4,Premium,Plus,Safety Premium Package
Mercedes-Benz A 200,Mercedes-Benz,"AVDA. REAL MONASTERIO DE SANTA MARIA POBLET Nº44,  46930 QUART DE POBLET, ES",23900.0,Compact,Used,Yes,98781.0,Automatic,Diesel,Dealer,2143.0,7.0,101.5,Front,Sport seats,1485.0,No,Part/Full Leather,1.0,efficient,5.0,100.0,3.8,Standard,Standard,Safety Standard Package
Mercedes-Benz B 200,Mercedes-Benz,"Viernheimer Strasse 100,  69469 Weinheim, DE",38880.0,Compact,Demonstration,No,22000.0,Automatic,Diesel,Dealer,1950.0,8.0,136.0,Front,"Ambient lighting, Automatically dimming interior mirror, Shift paddles, Sport package, Sport seats, Sport suspension, Touch screen, Voice Control",1485.0,Yes,Part/Full Leather,1.0,efficient,2.0,110.0,4.4,Premium,Standard,Safety Premium Package
Mercedes-Benz A 180,Mercedes-Benz,"AVDA. CAN JOFRESA, 35,  08226 TERRASSA, ES",27900.0,Compact,Used,Yes,19785.0,Automatic,Benzine,Dealer,1461.0,7.0,126.0,Front,Sport seats,1295.0,No,Cloth,1.0,unefficient,1.0,100.0,5.4,Standard,Standard,Safety Standard Package
Mercedes-Benz A 200,Mercedes-Benz,"AVENIDA DE CATALUÑA 103,  50014 ZARAGOZA, ES",33900.0,Compact,Used,Yes,35758.0,Automatic,Diesel,Dealer,1950.0,8.0,101.5,Front,Alloy wheels,1510.0,No,Part/Full Leather,1.0,efficient,2.0,110.0,4.1,Standard,Standard,Safety Premium Package
Mercedes-Benz A 45 AMG,Mercedes-Benz,"Voogdijstraat 25,  3500 Hasselt, BE",64999.0,Compact,Used,No,30273.0,Automatic,Benzine,Dealer,1991.0,7.0,183.0,4WD,Ski bag,1555.0,No,Part/Full Leather,1.0,unefficient,2.0,310.0,8.4,Standard,Standard,Safety Premium Package
Mercedes-Benz V 220,Mercedes-Benz,"C/ FRESADORES, 33 P.I. VALDEFUENTES,  28939 ARROYOMOLINOS, ES",37900.0,Compact,Used,Yes,126000.0,Manual,Diesel,Dealer,1950.0,6.0,210.0,Front,Alloy wheels,2447.0,No,Part/Full Leather,2.0,efficient,6.0,120.0,6.2,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz A 180,Mercedes-Benz,"AVDA. MADRID 7,  28500 ARGANDA DEL REY, ES",27490.0,Compact,Used,Yes,91754.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,Sport seats,1455.0,No,Cloth,2.0,unefficient,3.0,85.0,3.9,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,Mercedes-Benz,"Karl-Heinz-Klingen-Straße 106,  46539 Dinslaken, DE",24780.0,Compact,Used,No,46403.0,Automatic,Benzine,Dealer,1595.0,7.0,130.0,Front,"Alloy wheels, Catalytic Converter, Sport package, Sport seats, Sport suspension",1370.0,Yes,Cloth,3.0,unefficient,4.0,90.0,5.5,Premium,Standard,Safety Premium Package
